log_row,log_esb
755,"[1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3]"
1849,[2.4]
293,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]"
2201,"[1.2, 1.2, 1.2, 1.2, 2.0, 1.2, 1.2, 1.2, 1.2, 1.2]"
820,[0.6]
843,[0.6]
507,"[7.3, 7.3, 7.3, 7.3, 6.0]"
736,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]"
4318,"[2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 3.5]"
1899,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.2, 1.0, 1.0, 1.0]"
4231,"[5.4, 5.4, 5.4, 5.2, 5.4, 5.4, 5.4, 5.4, 5.4, 5.4]"
4454,"[8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 10.6]"
4796,"[1.1, 1.1, 1.1, 1.1, 1.1, 2.0, 1.1, 1.1, 1.1, 1.1]"
534,"[8.5, 8.5, 8.5, 8.5, 8.5, 8.1, 8.4, 8.5, 8.5, 8.5]"
1350,"[2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3]"
4875,"[8.0, 11.8, 8.0, 8.0, 8.0, 6.6]"
2791,"[8.8, 8.8, 8.8, 8.8, 8.8, 8.8, 8.8, 8.8, 8.8, 8.8]"
714,[1.6]
4428,"[1.2, 1.2, 1.2, 1.1]"
3669,"[8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3]"
809,"[7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 7.2, 6.6, 7.2, 7.2]"
1814,"[8.3, 8.3, 8.3, 6.5]"
3292,"[7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6, 7.6]"
2905,[2.4]
3523,[1.0]
2711,[2.7]
4712,"[0.9, 0.9, 0.9, 0.8]"
4281,"[1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.2]"
4281,"[1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.2]"
4789,[0.3]
1552,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.1]"
4485,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]"
3669,"[8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3]"
4821,[1.9]
1054,"[1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.7, 1.4, 1.4, 1.4]"
2952,[2.2]
2393,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 1.7, 0.9, 0.9, 0.9]"
3583,"[4.3, 3.2]"
4371,[1.3]
