log_row,log_esb
2018,[3.025]
3644,[3.664]
1194,"[0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.799, 0.799]"
3068,[2.494]
3491,"[1.898, 1.898, 1.898, 1.898, 1.898, 1.898, 1.851]"
613,"[0.93, 0.414]"
1341,[1.407]
1290,[1.054]
3455,"[0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987]"
3312,[6.522]
584,"[3.541, 3.541, 3.541, 3.541, 3.541, 2.23, 3.541, 3.541, 3.541, 3.541]"
2068,[6.598]
1180,"[0.973, 0.973, 0.973, 0.973, 0.973, 0.973, 0.763, 0.973, 0.973, 0.666]"
1180,"[0.973, 0.973, 0.973, 0.973, 0.973, 0.973, 0.763, 0.973, 0.973, 0.666]"
3862,"[2.665, 2.67, 2.67, 2.242]"
4609,"[1.839, 1.839, 1.839, 1.726, 1.839, 1.839, 1.839, 1.839, 1.839, 1.839]"
1168,"[1.489, 1.054, 1.054, 1.054, 1.054, 1.054, 1.054, 1.054, 1.054, 1.054]"
2344,"[1.59, 1.59, 1.59, 1.59, 1.59, 1.59, 1.59, 1.59, 1.59, 1.59]"
3284,"[5.481, 4.186]"
1770,[3.688]
2547,"[4.116, 4.116, 4.021]"
3259,"[3.535, 3.535, 3.535, 3.535, 3.535, 3.535, 3.535, 3.535, 3.535, 3.535]"
3767,"[0.871, 0.882, 0.871, 0.871, 0.871, 0.882, 0.871, 0.871, 0.871, 0.871]"
831,"[5.003, 5.003, 5.003, 3.576]"
4015,"[1.049, 1.049, 1.049, 1.049, 1.049, 1.049, 1.049, 1.049, 1.049, 0.919]"
4015,"[1.049, 1.049, 1.049, 1.049, 1.049, 1.049, 1.049, 1.049, 1.049, 0.919]"
3449,"[2.326, 1.998]"
2233,"[2.679, 2.031, 2.679, 2.679, 2.031, 2.679, 2.335, 2.679, 2.679, 2.335]"
3018,[0.543]
1429,"[5.981, 5.981, 4.859]"
1473,"[7.552, 7.552, 7.552, 7.552, 6.439]"
3452,[6.511]
1110,"[2.568, 2.568, 2.568, 1.62, 2.568, 2.568, 2.568, 2.568, 2.568, 2.568]"
2371,[6.537]
884,"[1.507, 1.507, 1.507, 1.507, 1.507, 1.395, 1.507, 1.395, 1.507, 1.507]"
3277,"[2.187, 2.187, 2.187, 2.187, 2.187, 2.187, 2.187, 2.187, 2.187, 2.187]"
269,"[2.862, 2.848]"
570,"[0.603, 0.603, 0.603, 0.596, 0.505]"
4457,"[6.519, 6.519, 6.519, 6.519, 6.519, 6.519, 6.519, 6.096, 6.519, 6.519]"
2440,"[1.829, 1.829, 1.829, 1.829, 1.829, 1.242]"
1745,[5.599]
3327,"[6.386, 6.386, 6.386, 6.386, 6.386, 6.386, 6.386, 6.386, 6.386, 6.386]"
167,"[1.219, 1.098]"
197,"[2.322, 2.322, 1.774]"
2240,[3.756]
3094,[5.08]
400,"[4.648, 4.648, 4.648, 4.648, 4.648, 4.648, 4.648, 3.961]"
4949,[2.863]
1854,[6.338]
4344,"[5.032, 5.032, 5.032, 5.032, 5.032, 5.032, 5.032, 5.032, 5.032, 5.032]"
1129,"[8.516, 8.498, 8.498, 8.498, 8.498, 8.498, 8.498, 8.498, 6.585]"
3820,"[2.495, 2.495, 2.391, 2.495, 2.495, 2.495, 2.495, 2.495, 2.495, 2.495]"
673,"[1.379, 1.379, 1.379, 1.379, 1.379, 1.379, 1.379, 1.379, 1.379, 1.379]"
4884,"[0.915, 0.915, 0.915, 0.915, 0.798, 0.915, 0.915, 0.915, 0.915, 0.798]"
3331,"[5.484, 5.484, 4.643]"
1593,"[0.908, 0.908, 0.516]"
4867,"[2.632, 2.632, 2.632, 2.632, 2.632, 2.632, 2.632, 2.632, 2.632, 2.632]"
797,"[1.804, 1.804, 1.804, 1.804, 1.804, 1.804, 1.804, 1.804, 1.804, 1.804]"
3493,"[1.066, 1.066, 1.066, 1.066, 1.066, 0.544]"
898,"[7.182, 7.182, 7.182, 6.801, 7.182, 7.182, 7.182, 5.58]"
3796,"[0.491, 0.491, 0.491, 0.491, 0.491, 0.491, 0.491, 0.491, 0.491, 0.453]"
4200,"[6.164, 5.262]"
3187,[1.789]
659,"[2.435, 2.435, 1.483]"
3161,"[2.237, 2.237, 2.237, 2.237, 2.237, 2.237, 2.237, 2.237, 2.237, 2.237]"
4000,"[2.601, 2.116]"
790,"[6.386, 6.386, 6.386, 6.416, 6.386, 6.386, 6.386, 6.386, 6.386, 6.386]"
1459,[1.253]
541,"[6.56, 6.288]"
1403,"[10.142, 6.559]"
4234,"[6.367, 7.168, 7.168, 7.168, 7.168, 7.168, 6.367, 7.168, 7.168, 7.168]"
2925,"[2.295, 2.295, 2.295, 2.295, 2.295, 2.295, 2.295, 2.295, 2.295, 2.295]"
4247,[2.342]
4497,[1.356]
2438,"[0.827, 0.827, 0.827, 0.827, 0.827, 0.827, 0.827, 0.787, 0.827, 0.738]"
2438,"[0.827, 0.827, 0.827, 0.827, 0.827, 0.827, 0.827, 0.787, 0.827, 0.738]"
3385,"[1.179, 0.94]"
2874,"[5.705, 5.705, 5.705, 5.705, 5.705, 5.705, 5.705, 4.485]"
2013,"[0.686, 0.686, 0.686, 0.686, 0.686, 0.622, 0.686, 0.606]"
47,"[7.328, 7.328, 7.328, 7.328, 7.328, 7.328, 7.328, 6.213]"
464,"[1.212, 1.212, 1.212, 1.212, 1.212, 1.212, 1.212, 1.057, 1.212, 1.212]"
3044,[6.269]
2578,"[5.029, 5.029, 5.029, 5.029, 5.029, 5.029, 5.029, 5.029, 5.029, 5.029]"
66,[2.635]
1052,"[3.054, 3.054, 3.054, 3.054, 3.054, 3.054, 1.991]"
4489,"[4.694, 4.694, 4.694, 4.509]"
3392,"[0.691, 0.55, 0.691, 0.691, 0.691, 0.691, 0.691, 0.691, 0.298]"
895,"[5.595, 5.595, 5.595, 3.641]"
4904,[1.523]
4395,[2.545]
2143,"[0.901, 0.901, 0.901, 0.801]"
3502,"[2.913, 2.727, 2.913, 2.913, 2.697]"
1635,"[1.577, 1.577, 1.577, 1.577, 1.168]"
3126,"[1.671, 1.671, 1.671, 1.671, 1.671, 1.671, 1.671, 1.671, 1.671, 1.671]"
2821,[2.121]
590,"[2.563, 2.563, 2.563, 2.563, 2.371]"
4791,"[1.141, 0.981]"
4814,[5.123]
1545,[2.74]
2581,"[5.952, 5.952, 5.952, 5.952, 5.952, 5.952, 5.952, 5.952, 5.952, 5.952]"
1158,"[5.06, 5.06, 5.06, 5.06, 5.06, 5.232, 5.06, 5.232, 5.06, 5.06]"
3175,"[1.226, 1.144, 1.226, 1.144, 1.14]"
2017,"[1.413, 1.413, 1.413, 1.264]"
132,[6.582]
2704,[6.513]
3135,"[2.708, 2.708, 2.708, 2.345, 2.708, 2.708, 2.708, 2.708, 1.91]"
1047,[1.256]
2058,"[6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578, 6.578]"
221,"[7.13, 7.13, 7.13, 7.13, 7.13, 7.13, 7.13, 7.051, 6.589]"
216,"[12.106, 12.106, 12.106, 12.106, 12.106, 12.106, 12.106, 12.106, 12.106, 12.106]"
1691,"[0.699, 0.699, 0.655, 0.699, 0.699, 0.699, 0.699, 0.699, 0.699, 0.699]"
2318,"[0.596, 0.596, 0.521]"
4975,"[3.187, 3.187, 3.187, 3.187, 2.462]"
2955,[0.386]
1145,"[0.796, 0.796, 0.796, 0.681, 0.796, 0.796, 0.796, 0.796, 0.796, 0.796]"
4698,[6.196]
4667,"[1.576, 1.576, 1.576, 1.162]"
274,"[1.995, 1.995, 1.995, 1.995, 1.995, 1.995, 1.995, 1.995, 1.995, 1.995]"
1472,"[3.521, 3.521, 3.521, 3.521, 3.521, 4.304, 3.348]"
623,"[4.433, 4.433, 3.328]"
4764,"[2.403, 2.403, 2.403, 2.403, 2.403, 2.403, 2.403, 2.403, 2.403, 2.403]"
4808,"[6.319, 6.506, 6.506, 6.506, 6.319, 6.319, 6.506, 6.506, 6.506, 6.506]"
289,[2.414]
3206,[3.165]
2402,"[6.702, 6.702, 6.702, 6.702, 6.702, 6.37]"
655,"[4.429, 4.429, 3.584]"
