LAM,D,N_0,N_n,esb,p_id
19.681,33.9,12.997,15,"[6.0894, 7.4183, 8.832, 9.791]","[7.9344e-16, 3.2213e-05, 0.077574, 0.20571]"
17.796,26.16,5.514,17,"[6.2225, 7.5898, 8.813, 9.0425]","[1.1947e-13, 0.0023264, 0.16555, 0.28322]"
18.366,17.49,6.103,7,"[1.091, 1.3575, 1.2849, 1.2563]","[5.7221e-14, 0.0014625, 0.16377, 0.28868]"
2.613,5.04,13.716,15,"[1.3488, 1.3091, 1.4033, 1.5151]","[0.75397, 0.85893, 0.89471, 0.91311]"
13.215,26.93,19.248,19,"[6.72122, 9.3107, 10.703, 11.2488]","[2.48831e-07, 0.207386, 0.380761, 0.467755]"
4.838,29.32,13.707,19,"[4.7694, 3.5378, 3.5678, 3.822]","[0.52393, 0.71553, 0.77962, 0.81182]"
2.211,22.94,15.549,7,"[0.53723, 0.58999, 0.64153, 0.69358]","[0.80006, 0.89036, 0.92251, 0.93938]"
5.376,30.56,9.018,5,"[0.43703, 0.4671, 0.51893, 0.57031]","[0.49228, 0.70785, 0.7827, 0.82194]"
4.72,13.21,11.659,16,"[2.5128, 1.8947, 1.9164, 2.0391]","[0.54071, 0.73033, 0.79406, 0.82623]"
11.587,37.46,12.602,11,"[4.2674, 3.6499, 3.4626, 3.5927]","[0.00012114, 0.30865, 0.46076, 0.53697]"
14.744,12.04,6.31,7,"[1.0695, 1.0938, 0.99234, 1.0081]","[3.0553e-09, 0.14034, 0.34035, 0.44115]"
3.338,19.56,6.925,12,"[1.0836, 1.0404, 1.1118, 1.1986]","[0.68532, 0.81954, 0.86529, 0.88881]"
4.829,23.73,11.45,17,"[3.25, 2.4136, 2.4406, 2.6079]","[0.52744, 0.7202, 0.78484, 0.81738]"
16.805,6.96,14.832,7,"[1.0687, 1.2853, 1.1321, 1.125]","[4.8951e-12, 0.026613, 0.2405, 0.35516]"
19.445,15.44,10.501,15,"[5.5547, 6.7719, 7.6504, 7.6272]","[1.5e-15, 5.7375e-05, 0.089332, 0.21745]"
5.08,33.95,7.603,8,"[0.86515, 0.85921, 0.94844, 1.0511]","[0.51235, 0.71444, 0.78303, 0.81811]"
1.876,27.7,10.824,9,"[0.64447, 0.68281, 0.72723, 0.77475]","[0.8328, 0.90929, 0.93625, 0.95031]"
17.607,16.93,16.735,17,"[6.3312, 7.7273, 9.2042, 9.7095]","[2.0183e-13, 0.0034474, 0.17418, 0.29034]"
10.916,34.87,10.109,13,"[5.0853, 4.1022, 3.7217, 3.7584]","[0.0014772, 0.35, 0.49437, 0.56675]"
